Niche,Typical_Deal_USD,LTV_USD,Gross_Margin_pct,Payment,Sales_Cycle_days,Primary_Channels,Delivery_Difficulty,Gross_Profit_USD,Rec_CAC_Ceiling_USD,StressA_GP_minus_2xCAC,StressB_GP_minus_1_43xCAC,StressC_Cashflow_Risk,StressD_GP_at_-20%,Cushion_0to4,Serviceability_1easy_5hard,Marketability,Econ_score,Cushion_score,Serviceability_score,Marketability_score,Composite_10pt
Craft Tequila Producers,54000,162000,73,Retainer,50,Instagram/LinkedIn/Cold Email,2,39420.0,4500.0,30420.0,32985.0,LOW,31536.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Ready-to-Drink Cocktail Brands,60000,180000,72,Retainer,45,Instagram/TikTok/LinkedIn,2,43200.0,4500.0,34200.0,36765.0,LOW,34560.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Non-Alcoholic Spirits Brands,54000,162000,73,Retainer,40,Instagram/TikTok/LinkedIn,2,39420.0,4500.0,30420.0,32985.0,LOW,31536.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Hard Seltzer Brands,54000,162000,71,Retainer,40,Instagram/TikTok/LinkedIn,2,38340.0,4500.0,29340.0,31905.0,LOW,30672.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Functional Beverage Brands,54000,162000,72,Retainer,40,Instagram/TikTok/LinkedIn,2,38880.0,4500.0,29880.0,32445.0,LOW,31104.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Craft Spirits Bars & Cocktail Lounges,36000,108000,69,Retainer,35,Instagram/TikTok/Google Ads,2,24840.0,4500.0,15840.0,18405.0,LOW,19872.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Spirits-Focused Restaurants & Cocktail Bars,36000,108000,68,Retainer,35,Instagram/TikTok/Google Ads,2,24480.0,4500.0,15480.0,18045.0,LOW,19584.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Celebrity Spirits Brands,84000,252000,74,Retainer,45,Instagram/LinkedIn/Cold Email,2,62160.0,4500.0,53160.0,55725.0,LOW,49728.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Influencer-Founded Spirits Labels,72000,216000,74,Retainer,40,Instagram/TikTok/LinkedIn,2,53280.0,4500.0,44280.0,46845.0,LOW,42624.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Cosmetic Dermatology Clinics,54000,162000,78,Retainer,40,Instagram/Google Ads/Facebook,2,42120.0,4500.0,33120.0,35685.0,LOW,33696.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Medispa & Aesthetic Injection Clinics,54000,162000,77,Retainer,35,Instagram/Google Ads/TikTok,2,41580.0,4500.0,32580.0,35145.0,LOW,33264.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Weight Loss & Metabolic Health Clinics,54000,162000,77,Retainer,35,Instagram/Google Ads/Facebook,2,41580.0,4500.0,32580.0,35145.0,LOW,33264.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Vision Surgery Centers (LASIK Cataract),54000,162000,78,Retainer,40,Google Ads/Instagram/Facebook,2,42120.0,4500.0,33120.0,35685.0,LOW,33696.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Plastic Surgery Practices,60000,180000,78,Retainer,40,Instagram/Google Ads/Facebook,2,46800.0,4500.0,37800.0,40365.0,LOW,37440.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Plant-Based Food Manufacturers,60000,180000,72,Retainer,50,Instagram/LinkedIn/Cold Email,2,43200.0,4500.0,34200.0,36765.0,LOW,34560.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Organic Snack Food Brands,48000,144000,73,Retainer,40,Instagram/LinkedIn/TikTok,2,35040.0,4500.0,26040.0,28605.0,LOW,28032.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Sports Nutritional Supplement Brands,48000,144000,72,Retainer,40,Instagram/TikTok/LinkedIn,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Craft Soda & Non-Alcoholic Beverage Brands,42000,126000,72,Retainer,40,Instagram/TikTok/LinkedIn,2,30240.0,4500.0,21240.0,23805.0,LOW,24192.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Wedding Planning Agencies,36000,108000,72,Retainer,35,Instagram/Pinterest/Google Ads,2,25920.0,4500.0,16920.0,19485.0,LOW,20736.0,4,2,5,10.0,10.0,8.0,10.0,9.6
E-learning & Online Course Platforms,60000,180000,75,Retainer,45,LinkedIn/Google Ads/Email,2,45000.0,4500.0,36000.0,38565.0,LOW,36000.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Language Learning Platforms,54000,162000,74,Retainer,45,LinkedIn/Google Ads/Instagram,2,39960.0,4500.0,30960.0,33525.0,LOW,31968.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Pet Food & Supplement Brands,48000,144000,73,Retainer,40,Instagram/TikTok/Amazon Ads,2,35040.0,4500.0,26040.0,28605.0,LOW,28032.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Mental Health Apps & Digital Therapeutics,66000,198000,76,Retainer,55,LinkedIn/Google Ads/Instagram,2,50160.0,4500.0,41160.0,43725.0,LOW,40128.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Influencer Talent Management Agencies,60000,180000,75,Retainer,40,LinkedIn/Instagram/TikTok,2,45000.0,4500.0,36000.0,38565.0,LOW,36000.0,4,2,5,10.0,10.0,8.0,10.0,9.6
User-Generated Content Platforms,60000,180000,74,Retainer,45,LinkedIn/Instagram/Cold Email,2,44400.0,4500.0,35400.0,37965.0,LOW,35520.0,4,2,5,10.0,10.0,8.0,10.0,9.6
Craft Whiskey Distilleries,48000,144000,72,Retainer,45,Instagram/LinkedIn/Cold Email,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Bourbon Distilleries,54000,162000,73,Retainer,50,Instagram/LinkedIn/Cold Email,2,39420.0,4500.0,30420.0,32985.0,LOW,31536.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Rye Whiskey Producers,48000,144000,72,Retainer,45,Instagram/LinkedIn/Cold Email,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Single Malt Distilleries,54000,162000,73,Retainer,50,Instagram/LinkedIn/Cold Email,2,39420.0,4500.0,30420.0,32985.0,LOW,31536.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Gin Distilleries,48000,144000,72,Retainer,45,Instagram/LinkedIn/Cold Email,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Rum Distilleries,48000,144000,72,Retainer,45,Instagram/LinkedIn/Cold Email,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Vodka Distilleries,42000,126000,71,Retainer,40,Instagram/LinkedIn/Cold Email,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Mezcal Producers,54000,162000,74,Retainer,50,Instagram/LinkedIn/Cold Email,2,39960.0,4500.0,30960.0,33525.0,LOW,31968.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Brandy Distilleries,48000,144000,72,Retainer,45,Instagram/LinkedIn/Cold Email,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Moonshine Producers,36000,108000,70,Retainer,40,Instagram/LinkedIn/Cold Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Liqueur Producers,48000,144000,72,Retainer,45,Instagram/LinkedIn/Cold Email,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Breweries,42000,126000,70,Retainer,40,Instagram/LinkedIn/Cold Email,2,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Independent Wineries,48000,144000,71,Retainer,45,Instagram/LinkedIn/Cold Email,2,34080.0,4500.0,25080.0,27645.0,LOW,27264.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Cideries,36000,108000,70,Retainer,40,Instagram/LinkedIn/Cold Email,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Hard Kombucha Producers,42000,126000,71,Retainer,40,Instagram/TikTok/LinkedIn,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,4,10.0,10.0,8.0,8.0,9.2
DTC Spirits Platforms,72000,216000,75,Retainer,45,LinkedIn/Cold Email/Instagram,2,54000.0,4500.0,45000.0,47565.0,LOW,43200.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Spirits Subscription Box Companies,48000,144000,73,Retainer,40,Instagram/LinkedIn/Cold Email,2,35040.0,4500.0,26040.0,28605.0,LOW,28032.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Label & Packaging Designers for Spirits,42000,126000,73,Retainer,45,LinkedIn/Cold Email/Instagram,2,30660.0,4500.0,21660.0,24225.0,LOW,24528.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Specialty Liquor Retailers,36000,108000,68,Retainer,35,Instagram/Facebook/Google Ads,2,24480.0,4500.0,15480.0,18045.0,LOW,19584.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Distillery Tasting Rooms,30000,90000,70,Retainer,30,Instagram/Google Ads/Email,2,21000.0,4500.0,12000.0,14565.0,LOW,16800.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Luxury Spirits Retailers,54000,162000,74,Retainer,50,Instagram/LinkedIn/Email,2,39960.0,4500.0,30960.0,33525.0,LOW,31968.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Beer & Spirits Gift Shops,30000,90000,68,Retainer,30,Instagram/Facebook/Google Ads,2,20400.0,4500.0,11400.0,13965.0,LOW,16320.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Spirits Industry Publications & Media,48000,144000,73,Retainer,45,LinkedIn/Cold Email/Instagram,2,35040.0,4500.0,26040.0,28605.0,LOW,28032.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Spirits Photography & Content Studios,36000,108000,74,Retainer,35,Instagram/LinkedIn/Cold Email,2,26640.0,4500.0,17640.0,20205.0,LOW,21312.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Cocktail Recipe Developers & Consultants,30000,90000,75,Retainer,35,Instagram/LinkedIn,2,22500.0,4500.0,13500.0,16065.0,LOW,18000.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Spirits PR Agencies,48000,144000,74,Retainer,45,LinkedIn/Cold Email/Instagram,2,35520.0,4500.0,26520.0,29085.0,LOW,28416.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Distillery Tourism Operators,30000,90000,71,Retainer,35,Instagram/Google Ads/Email,2,21300.0,4500.0,12300.0,14865.0,LOW,17040.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Luxury & Prestige Spirits Brands,90000,270000,76,Retainer,55,Instagram/LinkedIn/Events,2,68400.0,4500.0,59400.0,61965.0,LOW,54720.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Limited Edition Spirits Producers,60000,180000,74,Retainer,45,Instagram/LinkedIn/Email,2,44400.0,4500.0,35400.0,37965.0,LOW,35520.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Sustainable & Organic Spirits Brands,54000,162000,74,Retainer,45,Instagram/LinkedIn/TikTok,2,39960.0,4500.0,30960.0,33525.0,LOW,31968.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Heritage & Terroir-Focused Distilleries,54000,162000,73,Retainer,50,Instagram/LinkedIn/Email,2,39420.0,4500.0,30420.0,32985.0,LOW,31536.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Spirits Gift & Subscription Services,42000,126000,73,Retainer,35,Instagram/Email/LinkedIn,2,30660.0,4500.0,21660.0,24225.0,LOW,24528.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Spirits Brand Ambassador Programs,42000,126000,72,Retainer,40,Instagram/LinkedIn,2,30240.0,4500.0,21240.0,23805.0,LOW,24192.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Beverage Alcohol Label Design Agencies,36000,108000,74,Retainer,35,Instagram/LinkedIn/Cold Email,2,26640.0,4500.0,17640.0,20205.0,LOW,21312.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Spirits Podcast & Media Networks,42000,126000,72,Retainer,40,LinkedIn/Instagram/Cold Email,2,30240.0,4500.0,21240.0,23805.0,LOW,24192.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Spirits Retail Chain Operators,54000,162000,71,Retainer,50,LinkedIn/Cold Email/Instagram,2,38340.0,4500.0,29340.0,31905.0,LOW,30672.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Functional Medicine Clinics,48000,144000,78,Retainer,40,Google Ads/Instagram/Email,2,37440.0,4500.0,28440.0,31005.0,LOW,29952.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Concierge & Direct Primary Care Practices,54000,162000,80,Retainer,40,LinkedIn/Google Ads/Email,2,43200.0,4500.0,34200.0,36765.0,LOW,34560.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Physical Therapy & Sports Rehab Clinics,42000,126000,76,Retainer,35,Google Ads/Instagram/Email,2,31920.0,4500.0,22920.0,25485.0,LOW,25536.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Pediatric Therapy Clinics,42000,126000,76,Retainer,40,Google Ads/Facebook/Email,2,31920.0,4500.0,22920.0,25485.0,LOW,25536.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Mental Health Private Practices,36000,108000,78,Retainer,35,Google Ads/Instagram/Email,2,28080.0,4500.0,19080.0,21645.0,LOW,22464.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Artisan Food Producers & Co-packers,42000,126000,72,Retainer,40,Instagram/LinkedIn/Cold Email,2,30240.0,4500.0,21240.0,23805.0,LOW,24192.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Specialty Coffee Roasters,36000,108000,73,Retainer,35,Instagram/LinkedIn/Email,2,26280.0,4500.0,17280.0,19845.0,LOW,21024.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Craft Tea Brands,36000,108000,73,Retainer,35,Instagram/LinkedIn/Email,2,26280.0,4500.0,17280.0,19845.0,LOW,21024.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Specialty Cheese Producers,36000,108000,72,Retainer,35,Instagram/LinkedIn/Email,2,25920.0,4500.0,16920.0,19485.0,LOW,20736.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Sports & Recreation Facility Operators,42000,126000,70,Retainer,40,Instagram/LinkedIn/Google Ads,2,29400.0,4500.0,20400.0,22965.0,LOW,23520.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Indoor Climbing & Adventure Park Operators,36000,108000,71,Retainer,35,Instagram/Google Ads/TikTok,2,25560.0,4500.0,16560.0,19125.0,LOW,20448.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Martial Arts & Combat Sports Gyms,24000,72000,72,Retainer,30,Instagram/Facebook/Google Ads,2,17280.0,4500.0,8280.0,10845.0,LOW,13824.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Youth Sports Club Operators,30000,90000,71,Retainer,35,Facebook/Instagram/Email,2,21300.0,4500.0,12300.0,14865.0,LOW,17040.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Esports Venue Operators,42000,126000,72,Retainer,40,Instagram/TikTok/LinkedIn,2,30240.0,4500.0,21240.0,23805.0,LOW,24192.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Escape Room Franchise Operators,30000,90000,71,Retainer,30,Instagram/Google Ads/Facebook,2,21300.0,4500.0,12300.0,14865.0,LOW,17040.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Trampoline & Family Entertainment Centers,30000,90000,70,Retainer,30,Instagram/Facebook/Google Ads,2,21000.0,4500.0,12000.0,14565.0,LOW,16800.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Sports Photography & Video Production Companies,30000,90000,72,Retainer,35,Instagram/LinkedIn/Email,2,21600.0,4500.0,12600.0,15165.0,LOW,17280.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Outdoor Adventure Tour Operators,36000,108000,71,Retainer,35,Instagram/Google Ads/Email,2,25560.0,4500.0,16560.0,19125.0,LOW,20448.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Ghost Kitchen & Virtual Restaurant Operators,48000,144000,72,Retainer,40,LinkedIn/Instagram/Cold Email,2,34560.0,4500.0,25560.0,28125.0,LOW,27648.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Food Truck Fleet Operators,30000,90000,71,Retainer,35,Instagram/TikTok/Email,2,21300.0,4500.0,12300.0,14865.0,LOW,17040.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Event Venue Operators,48000,144000,71,Retainer,45,Instagram/LinkedIn/Google Ads,2,34080.0,4500.0,25080.0,27645.0,LOW,27264.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Photography Studio Chains,30000,90000,72,Retainer,30,Instagram/Google Ads/Email,2,21600.0,4500.0,12600.0,15165.0,LOW,17280.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Video Production Houses,48000,144000,73,Retainer,40,LinkedIn/Instagram/Cold Email,2,35040.0,4500.0,26040.0,28605.0,LOW,28032.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Podcast Production Companies,36000,108000,73,Retainer,35,LinkedIn/Instagram/Email,2,26280.0,4500.0,17280.0,19845.0,LOW,21024.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Tutoring & Test Prep Companies,36000,108000,73,Retainer,35,Google Ads/Instagram/Facebook,2,26280.0,4500.0,17280.0,19845.0,LOW,21024.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Vocational Training Schools,42000,126000,73,Retainer,40,Google Ads/LinkedIn/Facebook,2,30660.0,4500.0,21660.0,24225.0,LOW,24528.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Coding Bootcamps,48000,144000,74,Retainer,40,LinkedIn/Google Ads/Instagram,2,35520.0,4500.0,26520.0,29085.0,LOW,28416.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Real Estate Schools & Licensing Programs,30000,90000,73,Retainer,35,Google Ads/Facebook/Instagram,2,21900.0,4500.0,12900.0,15465.0,LOW,17520.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Swimming Pool Builders & Service Companies,36000,108000,70,Retainer,35,Google Ads/Instagram/Facebook,2,25200.0,4500.0,16200.0,18765.0,LOW,20160.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Hardscape & Outdoor Living Contractors,42000,126000,71,Retainer,40,Instagram/Google Ads/Houzz,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Pet Boarding & Daycare Facilities,24000,72000,70,Retainer,30,Google Ads/Instagram/Facebook,2,16800.0,4500.0,7800.0,10365.0,LOW,13440.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Veterinary Practice Groups,54000,162000,75,Retainer,45,Google Ads/Instagram/LinkedIn,2,40500.0,4500.0,31500.0,34065.0,LOW,32400.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Pet Grooming Franchise Operators,24000,72000,70,Retainer,30,Instagram/Facebook/Google Ads,2,16800.0,4500.0,7800.0,10365.0,LOW,13440.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Solar Installation Contractors,48000,144000,71,Retainer,40,Google Ads/Instagram/LinkedIn,2,34080.0,4500.0,25080.0,27645.0,LOW,27264.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Smart Home Technology Installers,36000,108000,72,Retainer,35,Instagram/Google Ads/Email,2,25920.0,4500.0,16920.0,19485.0,LOW,20736.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Custom Home Builders,54000,162000,71,Retainer,50,Instagram/Houzz/Google Ads,2,38340.0,4500.0,29340.0,31905.0,LOW,30672.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Kitchen & Bath Remodeling Companies,42000,126000,71,Retainer,40,Instagram/Google Ads/Houzz,2,29820.0,4500.0,20820.0,23385.0,LOW,23856.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Moving & Relocation Companies,36000,108000,69,Retainer,30,Google Ads/Facebook/LinkedIn,2,24840.0,4500.0,15840.0,18405.0,LOW,19872.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Urgent Care Center Operators,54000,162000,75,Retainer,45,Google Ads/LinkedIn/Instagram,2,40500.0,4500.0,31500.0,34065.0,LOW,32400.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Behavioral Health & ABA Therapy Companies,48000,144000,76,Retainer,45,Google Ads/LinkedIn/Email,2,36480.0,4500.0,27480.0,30045.0,LOW,29184.0,4,2,4,10.0,10.0,8.0,8.0,9.2
Alcohol Brand Design Studios,36000,108000,76,Retainer,35,Instagram/LinkedIn/Cold Email,2,27360.0,4500.0,18360.0,20925.0,LOW,21888.0,4,2,4,10.0,10.0,8.0,8.0,9.2
